"충전소명",충전소위치상세,설치시도명,휴점일,이용가능시작시각,이용가능종료시각,완속충전가능여부,급속충전가능여부,급속충전타입구분,완속충전기대수,급속충전기대수,주차료부과여부,소재지도로명주소,소재지지번주소,관리업체명,관리업체전화번호,위도,경도,데이터기준일자
"대구도시철도공사",입구 좌측,대구광역시,연중무휴,00:00,00:00,N,Y,DC차데모+AC3상+DC콤보,0,1,N,대구광역시 달서구 월배로 250,대구광역시 달서구 상인1동  1500,대구환경공단,053-605-8060,35.8190698,128.5404202,2019-06-27
"대구시청",입구 좌측,대구광역시,연중무휴,00:00,00:00,Y,Y,DC차데모+AC3상+DC콤보,1,1,Y,대구광역시 중구 공평로 88,대구광역시 중구 동인동1가  42767,대구환경공단,053-605-8060,35.8715411,128.6015050,2019-06-27
"대구의료원",입구 좌측,대구광역시,연중무휴,00:00,00:00,N,Y,DC차데모+AC3상+DC콤보,0,1,Y,대구광역시 서구 평리로 157,대구광역시 서구 중리동  1162,대구환경공단,053-605-8060,35.8596025,128.5405922,2019-06-27
"동구청",입구 우측,대구광역시,연중무휴,00:00,00:00,Y,Y,DC차데모+AC3상+DC콤보,1,1,Y,대구광역시 동구 아양로 207,대구광역시 동구 신암동  13150,대구환경공단,053-605-8060,35.8867281,128.6356637,2019-06-27
"동대구복합환승센터",별관2층 D15-18,대구광역시,연중무휴,00:00,00:00,Y,Y,DC차데모+AC3상+DC콤보,3,1,Y,대구광역시 동구 동부로 153,대구광역시 동구 신천동  329-19,대구환경공단,053-605-8060,35.878811,128.631021,2019-06-27
"두류공원",입구 우측,대구광역시,연중무휴,00:00,00:00,Y,N,,4,0,N,대구광역시 달서구 공원순환로 216,대구광역시 달서구 성당동  195-11,대구환경공단,053-605-8060,35.8445513,128.5616139,2019-06-27
"대구환경공단(지산)",입구 좌측,대구광역시,연중무휴,00:00,00:00,N,Y,DC차데모+AC3상+DC콤보,0,1,N,대구광역시 수성구 무학로 112,대구광역시 수성구 두산동 499-4,대구환경공단,053-605-8060,35.8292435,128.6209285,2019-06-27
"매천역환승공영주차장",입구 좌끝,대구광역시,연중무휴,00:00,00:00,Y,N,,2,0,N,대구광역시 북구 태전동 881-10,대구광역시 북구 태전동  881-10,대구환경공단,053-605-8060,35.914312,128.542716,2019-06-27
"북구청",입구 좌측,대구광역시,연중무휴,00:00,00:00,Y,Y,DC차데모+AC3상+DC콤보,1,1,Y,대구광역시 북구 옥산로 65,대구광역시 북구 침산3동  447-16,대구환경공단,053-605-8060,35.8857240,128.5829108,2019-06-27
"서구국민체육센터",입구 좌측,대구광역시,연중무휴,00:00,00:00,N,Y,DC차데모+AC3상+DC콤보,0,1,N,대구광역시 서구 문화로 72,대구광역시 서구 이현동 315-15,대구환경공단,053-605-8060,35.8731715,128.5412624,2019-06-27
"서구청",청사 후면,대구광역시,연중무휴,00:00,00:00,N,Y,DC차데모+AC3상+DC콤보,0,1,Y,대구광역시 서구 국채보상로 257,대구광역시 서구 평리동  1230-9,대구환경공단,053-605-8060,35.8718022,128.5592204,2019-06-27
"서문주차빌딩",3층 F 나,대구광역시,연중무휴,07:00,19:30,Y,Y,DC차데모+AC3상+DC콤보,3,1,Y,대구광역시 중구 큰장로26길 45,대구광역시 중구 대신동  115-378,대구환경공단,053-605-8060,35.8688986,128.5807810,2019-06-27
"서부법원 앞",도로면,대구광역시,연중무휴,00:00,00:00,Y,N,,4,0,N,대구광역시 달서구 용산동 230-5,대구광역시 달서구 용산동 230-5,대구환경공단,053-605-8060,35.851926,128.525938,2019-06-27
"성서체육공원주차장",입구 좌측,대구광역시,연중무휴,00:00,00:00,Y,N,,4,0,N,대구광역시 달서구 성서공단로22길 25,대구광역시 달서구 월암동  1-18,대구환경공단,053-605-8060,35.8324495,128.4955776,2019-06-27
"성서홈플러스",지하4층 40,대구광역시,연중무휴,04:30,00:00,Y,Y,DC차데모+AC3상+DC콤보,1,1,Y,대구광역시 달서구 달구벌대로 1467,대구광역시 달서구 용산동  230-11,대구환경공단,053-605-8060,35.8494607,128.5274266,2019-06-27
"수성구청",입구 좌측,대구광역시,연중무휴,00:00,00:00,Y,Y,DC차데모+AC3상+DC콤보,1,1,Y,대구광역시 수성구 달구벌대로 2450,대구광역시 수성구 범어동  238-3,대구환경공단,053-605-8060,35.8580437,128.6305520,2019-06-27
"수성대학교 입구 우",도로면,대구광역시,연중무휴,00:00,00:00,Y,N,,2,0,N,대구광역시 수성구 달구벌대로 529길,,대구환경공단,053-605-8060,35.855826,128.649936,2019-06-27
"수성대학교 입구 좌",도로면,대구광역시,연중무휴,00:00,00:00,Y,N,,2,0,N,대구광역시 수성구 달구벌대로 528길,,대구환경공단,053-605-8060,35.855772,128.650062,2019-06-27
"시설안전관리사업소",입구 우측,대구광역시,연중무휴,00:00,00:00,Y,Y,DC차데모+AC3상+DC콤보,3,1,N,대구광역시 달서구 성서공단로 58,대구광역시 달서구 대천동  891,대구환경공단,053-605-8060,35.8336767,128.4892806,2019-06-27
"시지근린공원",도로면,대구광역시,연중무휴,08:00,22:00,Y,N,,4,0,N,대구광역시 수성구 달구벌대로 637길 5,대구광역시 수성구 매호동  1330-2,대구환경공단,053-605-8060,35.8413610293,128.706040391,2019-06-27
"시청별관",입구 우측,대구광역시,연중무휴,00:00,00:00,Y,Y,DC차데모+AC3상+DC콤보,3,1,N,대구광역시 북구 연암로 60,대구광역시 북구 산격동 994-1,대구환경공단,053-605-8060,35.8911785,128.5970855,2019-06-27
"어린이회관",입구 좌측,대구광역시,연중무휴,00:00,00:00,Y,N,,3,0,Y,대구광역시 수성구 동대구로 176,대구광역시 수성구 황금동  626,대구환경공단,053-605-8060,35.8469129,128.6272003,2019-06-27
"올브랜 주차장",입구 우측,대구광역시,연중무휴,00:00,00:00,Y,N,,3,0,Y,대구광역시 북구 산격동 1671,대구광역시 북구 산격동  1671,대구환경공단,053-605-8060,35.904501,128.609471,2019-06-27
"외환들공영주차장",주차장 하단부,대구광역시,연중무휴,00:00,00:00,Y,N,,3,0,N,대구광역시 수성구 미술관로 40,대구광역시 수성구 삼덕동  374,대구환경공단,053-605-8060,35.8276258,128.673994,2019-06-27
"율하체육공원3주차장",입구 좌측,대구광역시,연중무휴,00:00,00:00,N,Y,DC차데모+AC3상+DC콤보,0,1,N,대구광역시 동구 금호강변로 278,대구광역시 동구 율하동  1626,대구환경공단,053-605-8060,35.8599236329,128.692839966,2019-06-27
"차량등록사업소",입구 우측,대구광역시,연중무휴,00:00,00:00,N,Y,DC차데모+AC3상+DC콤보,0,1,N,대구광역시 수성구 동원로 84,대구광역시 수성구 만촌동 1429-9,대구환경공단,053-605-8060,35.8666424,128.6397299,2019-06-27
"첨단의료산업진흥재단",입구 좌측,대구광역시,연중무휴,00:00,00:00,N,Y,DC차데모+AC3상+DC콤보,0,1,N,대구광역시 동구 첨복로 80,대구광역시 동구 동내동  1115-1,대구환경공단,053-605-8060,35.8801276471,128.7362140033,2019-06-27
"충전인프라 관제센터",입구 정면,대구광역시,연중무휴,00:00,00:00,Y,Y,DC차데모+AC3상+DC콤보,3,1,N,대구광역시 서구 가르뱅이로10길 31,대구광역시 서구 상리동  649-5,대구환경공단,053-605-8060,35.8849385,128.5333369,2019-06-27
"충혼탑 주차장",입구 좌측,대구광역시,연중무휴,00:00,00:00,Y,Y,DC차데모+AC3상+DC콤보,1,1,N,대구광역시 남구 앞산순환로 540,대구광역시 남구 대명9동  산186,대구환경공단,053-605-8060,35.8322698,128.5837670,2019-06-27
"패션센터 주차장",입구 우측,대구광역시,연중무휴,00:00,00:00,N,Y,DC차데모+AC3상+DC콤보,0,1,Y,대구광역시 북구 유통단지로 14길 17,대구광역시 북구 산격동  1670,대구환경공단,053-605-8060,35.9061485,128.6117408,2019-06-27
"환경공단안심관리소",입구 우측,대구광역시,연중무휴,00:00,00:00,Y,Y,DC차데모+AC3상+DC콤보,2,1,N,대구광역시 동구 금호강변로 91,대구광역시 동구 용계동  828-2,대구환경공단,053-605-8060,35.8680089,128.680862,2019-06-27
"반야월공영주차장",입구 우측,대구광역시,연중무휴,00:00,00:00,N,Y,DC차데모+AC3상+DC콤보,0,1,N,대구광역시 동구 신기동 174,대구광역시 동구 신기동 174,대구환경공단,053-605-8060,35.872287,128.702029,2019-06-27
"대구환경공단(달서천)",입구 좌측,대구광역시,연중무휴,00:00,00:00,Y,Y,DC차데모+AC3상+DC콤보,1,1,N,대구광역시 서구 염색공단로 130,대구광역시 서구 비산동 3016,대구환경공단,053-605-8060,35.8848572,128.5376304,2019-06-27
"상중이동행정복지센터",센터 뒤편,대구광역시,연중무휴,00:00,00:00,N,Y,DC차데모+AC3상+DC콤보,0,1,N,대구광역시 서구 중리동  1085-3,대구광역시 서구 중리동 1085-3,대구환경공단,053-605-8060,35.8670027858,128.546083096,2019-06-27
"관음공영주차장",입구 좌측,대구광역시,연중무휴,00:00,00:00,N,Y,DC차데모+AC3상+DC콤보,0,1,N,대구광역시 북구 관음중앙로 80,대구광역시 북구 관음동 448-1,대구환경공단,053-605-8060,35.941098,128.5446973,2019-06-27
"복현장미공원",1층 주차장 진입 후 우측,대구광역시,연중무휴,00:00,00:00,N,Y,DC차데모+AC3상+DC콤보,0,1,N,대구광역시 북구 경진로남1길  40,대구광역시 북구 복현동 439-1,대구환경공단,053-605-8060,35.893396,128.617314401,2019-06-27
"대구 부광교회",입구 좌측,대구광역시,연중무휴,00:00,00:00,N,Y,DC차데모+AC3상+DC콤보,0,1,N,대구광역시 북구 칠곡중앙대로52길38,대구광역시 북구 태전동 608-12,대구환경공단,053-605-8060,35.9218148,128.5495474,2019-06-27
"두산오거리(두산스포츠 북동편 도로면)",도로면,대구광역시,연중무휴,00:00,00:00,Y,N,,4,0,N,대구광역시 수성구 두산동 954-14,대구광역시 수성구 두산동 954-14,대구환경공단,053-605-8060,35.827264,128.625136,2019-06-27
"파동교네거리주차장",입구 우측,대구광역시,연중무휴,00:00,00:00,N,Y,DC차데모+AC3상+DC콤보,0,1,N,대구광역시 수성구 파동로  174,대구광역시 수성구 파동 274,대구환경공단,053-605-8060,35.8185189,128.6133287,2019-06-27
"월광수변공원주차장",입구 좌측,대구광역시,연중무휴,00:00,00:00,N,Y,DC차데모+AC3상+DC콤보,0,1,N,대구광역시 달서구 도원동 928,대구광역시 달서구 도원동 928,대구환경공단,053-605-8060,35.798734,128.548772,2019-06-27
"대구환경공단(본부)",입구 좌측,대구광역시,연중무휴,00:00,00:00,Y,Y,DC차데모+AC3상+DC콤보,1,1,N,대구광역시 달서구 달서대로 210,대구광역시 달서구 대천동 770,대구환경공단,053-605-8060,35.8224913,128.4969622,2019-06-27
"다사읍사무소",입구 좌측,대구광역시,연중무휴,00:00,00:00,N,Y,DC차데모+AC3상+DC콤보,0,1,N,대구광역시 달성군 다사읍 매곡로 7,대구광역시 달성군 다사읍 매곡리 885-1,대구환경공단,053-605-8060,35.8619037,128.4540961,2019-06-27
"달성군 농업기술센터",입구 우측,대구광역시,연중무휴,00:00,00:00,N,Y,DC차데모+AC3상+DC콤보,0,1,N,대구광역시 달성군 옥포면 비슬로 2040,대구광역시 달성군 옥포면 교항리 2521-7,대구환경공단,053-605-8060,35.7824203,128.4467845,2019-06-27
"문양역 야외주차장",입구 좌측,대구광역시,연중무휴,00:00,00:00,N,Y,DC차데모+AC3상+DC콤보,0,1,N,대구광역시 달성군 다사읍 문양리  470,대구광역시 달성군 다사읍 문양리 470,대구환경공단,053-605-8060,35.864005,128.437936,2019-06-27
"비슬산자연휴양림공영주차장",입구 좌측,대구광역시,연중무휴,00:00,00:00,N,Y,DC차데모+AC3상+DC콤보,0,1,N,대구광역시 달성군 유가면 휴양림길 236,대구광역시 달성군 유가면 용리15,대구환경공단,053-605-8060,35.6938619,128.505323,2019-06-27
"한국산업단지 달성출장소",입구 좌측,대구광역시,연중무휴,00:00,00:00,N,Y,DC차데모+AC3상+DC콤보,0,1,N,대구광역시 달성군 구지면 달성2차동1로 109,대구광역시 달성군 구지면 내리 840-3,대구환경공단,053-605-8060,35.6409306,128.4194308,2019-06-27
"중구청",입구 정면 (우측으로 유도선 따라 회전),대구광역시,연중무휴,00:00,00:00,N,Y,DC차데모+AC3상+DC콤보,0,1,Y,대구광역시 중구 국채보상로139길 1,대구광역시 중구 동인동2가 177-4 중구청,대구환경공단,053-605-8060,35.8692838,128.6060779,2019-06-27
"대신동 행정복지센터",도로변,대구광역시,연중무휴,00:00,00:00,N,Y,DC차데모+AC3상+DC콤보,0,1,N,대구광역시 중구 달구벌대로389길 50,대구광역시 중구 대신동 2107 대신동 주민센터,대구환경공단,053-605-8060,35.8655820671,128.576349852,2019-06-27
"신암2동 행정복지센터",도로변,대구광역시,연중무휴,00:00,00:00,N,Y,DC차데모+AC3상+DC콤보,0,1,N,대구광역시 동구 신성로 56,대구광역시 동구 신암동 480-13 신암2동주민센터,대구환경공단,053-605-8060,35.8799695,128.6127068,2019-06-27
"효목1동 행정복지센터",입구 좌측,대구광역시,연중무휴,00:00,00:00,N,Y,DC차데모+AC3상+DC콤보,0,1,N,대구광역시 동구 화랑로41길 46,대구광역시 동구 효목동 174-9 효목1동행정복지센터,대구환경공단,053-605-8060,35.8816142,128.6449448,2019-06-27
"도평동 행정복지센터",입구 반대편 우측,대구광역시,연중무휴,00:00,00:00,N,Y,DC차데모+AC3상+DC콤보,0,1,N,대구광역시 동구 팔공로24길 171,대구광역시 동구 도동 978-385 도평동 주민센터,대구환경공단,053-605-8060,35.9100034,128.6500078,2019-06-27
"동촌동 행정복지센터",도로변,대구광역시,연중무휴,00:00,00:00,N,Y,DC차데모+AC3상+DC콤보,0,1,N,대구광역시 동구 동촌로11길 5,대구광역시 동구 입석동 893-12 동촌동행정복지센터,대구환경공단,053-605-8060,35.8894286,128.6496203,2019-06-27
"방촌동 행정복지센터",입구 우측,대구광역시,연중무휴,00:00,00:00,N,Y,DC차데모+AC3상+DC콤보,0,1,N,대구광역시 동구 동촌로48길 26,대구광역시 동구 방촌동 1084-124 방촌동주민센터,대구환경공단,053-605-8060,35.880027,128.6652611,2019-06-27
"안심3.4동 행정복지센터",입구 우측,대구광역시,연중무휴,00:00,00:00,N,Y,DC차데모+AC3상+DC콤보,0,1,N,대구광역시 동구 안심로49길 98,"대구광역시 동구 서호동 14-1 안심3,4동주민센터",대구환경공단,053-605-8060,35.8705213,128.7108358,2019-06-27
"남구청",입구 우측 (우측으로 유도선 따라 회전),대구광역시,연중무휴,00:00,00:00,Y,Y,DC차데모+AC3상+DC콤보,1,1,Y,대구광역시 남구 이천로 51,"대구광역시 남구 봉덕동 565-5 남구청, 남구의회, 봉덕1동 주민센터",대구환경공단,053-605-8060,35.845792,128.5977724,2019-06-27
"봉덕3동 행정복지센터",도로변,대구광역시,연중무휴,00:00,00:00,N,Y,DC차데모+AC3상+DC콤보,0,1,N,대구광역시 남구 중앙대로22길 100,대구광역시 남구 봉덕동 702-6 봉덕3동 주민센터,대구환경공단,053-605-8060,35.8424354,128.5959628,2019-06-27
"대명2동 행정복지센터",도로변,대구광역시,연중무휴,00:00,00:00,N,Y,DC차데모+AC3상+DC콤보,0,1,N,대구광역시 남구 명덕로32길 30,대구광역시 남구 대명동 1827 대명2동 주민센터,대구환경공단,053-605-8060,35.8552846,128.5864555,2019-06-27
"대명3동 행정복지센터",입구 반대편 좌측,대구광역시,연중무휴,00:00,00:00,N,Y,DC차데모+AC3상+DC콤보,0,1,N,대구광역시 남구 명덕로20길 115,대구광역시 남구 대명동 2144-3 대명3동 행정복지센터,대구환경공단,053-605-8060,35.8523781,128.5791382,2019-06-27
"대명4동 행정복지센터",지상주차장,대구광역시,연중무휴,00:00,00:00,N,Y,DC차데모+AC3상+DC콤보,0,1,N,대구광역시 남구 두류공원로20길 19,대구광역시 남구 대명동 3043-34 대명4동 행정복지센터,대구환경공단,053-605-8060,35.8459643,128.569528,2019-06-27
"고성동 행정복지센터",지상주차장,대구광역시,연중무휴,00:00,00:00,N,Y,DC차데모+AC3상+DC콤보,0,1,N,대구광역시 북구 고성로31길 21,대구광역시 북구 고성동3가 6-270 고성동 주민센터,대구환경공단,053-605-8060,35.881909,128.5835861,2019-06-27
"산격3동 행정복지센터",도로변,대구광역시,연중무휴,00:00,00:00,N,Y,DC차데모+AC3상+DC콤보,0,1,N,대구광역시 북구 대학로15길 16,대구광역시 북구 산격동 1393-27 산격3동 주민센터,대구환경공단,053-605-8060,35.8935456,128.6083116594,2019-06-27
"무태조야동 행정복지센터",도로변,대구광역시,연중무휴,00:00,00:00,N,Y,DC차데모+AC3상+DC콤보,0,1,N,대구광역시 북구 호국로43길 20,대구광역시 북구 서변동 1777 무태조야동 주민센터,대구환경공단,053-605-8060,35.9213327,128.5971048,2019-06-27
"태전1동 행정복지센터",입구 좌측,대구광역시,연중무휴,00:00,00:00,N,Y,DC차데모+AC3상+DC콤보,0,1,N,대구광역시 북구 태전로7길 10-24,대구광역시 북구 태전동 255-28 태전1동 주민센터,대구환경공단,053-605-8060,35.9240928,128.5433323,2019-06-27
"황금1동 행정복지센터",도로변,대구광역시,연중무휴,00:00,00:00,N,Y,DC차데모+AC3상+DC콤보,0,1,N,대구광역시 수성구 청호로57길 10,대구광역시 수성구 황금동 93-5 황금1동 행정복지센터,대구환경공단,053-605-8060,35.843988,128.6381642,2019-06-27
"본리동 행정복지센터",지상주차장,대구광역시,연중무휴,00:00,00:00,N,Y,DC차데모+AC3상+DC콤보,0,1,N,대구광역시 달서구 당산로 37-14,대구광역시 달서구 본리동 110-4 본리동행정복지센터,대구환경공단,053-605-8060,35.8410150253,128.543165806,2019-06-27
"죽전동 행정복지센터",지상주차장,대구광역시,연중무휴,00:00,00:00,N,Y,DC차데모+AC3상+DC콤보,0,1,N,대구광역시 달서구 와룡로54길 28,대구광역시 달서구 죽전동 204-12 죽전동행정복지센터,대구환경공단,053-605-8060,35.855797,128.5398201,2019-06-27
"송현2동 행정복지센터",지상주차장,대구광역시,연중무휴,00:00,00:00,N,Y,DC차데모+AC3상+DC콤보,0,1,N,대구광역시 달서구 월배로83길 120-14,대구광역시 달서구 송현동 528-3 송현2동행정복지센터,대구환경공단,053-605-8060,35.8327943,128.5456058,2019-06-27
"하빈면 행정복지센터",지상주차장,대구광역시,연중무휴,00:00,00:00,N,Y,DC차데모+AC3상+DC콤보,0,1,N,대구광역시 달성군 하빈면 하빈로84길 1,대구광역시 달성군 하빈면 현내리 933-1 하빈면사무소,대구환경공단,053-605-8060,35.9010927,128.4455528,2019-06-27
"침산1차 푸르지오",지하주차장,대구광역시,연중무휴,09:00,18:00,Y,Y,DC차데모+AC3상+DC콤보,2,1,N,대구광역시 북구 침산로21길 23,대구광역시 북구 칠성동2가 2-2 침산1차푸르지오,대구환경공단,053-605-8060,35.8856733,128.5877583,2019-06-27
"명성 푸르지오",지하주차장,대구광역시,연중무휴,09:00,18:00,Y,Y,DC차데모+AC3상+DC콤보,2,1,N,대구광역시 북구 침산로 153,대구광역시 북구 침산동 269-10 명성푸르지오,대구환경공단,053-605-8060,35.8893813,128.5901516,2019-06-27
"성당두산위브",지하주차장,대구광역시,연중무휴,09:00,18:00,Y,Y,DC차데모+AC3상+DC콤보,2,1,N,대구광역시 달서구 당산로 82,대구광역시 달서구 성당동 840 성당두산위브,대구환경공단,053-605-8060,35.8444069,128.5458193,2019-06-27
"진천1차 삼성레미안",지하주차장,대구광역시,연중무휴,09:00,18:00,Y,Y,DC차데모+AC3상+DC콤보,2,1,N,대구광역시 달서구 상화로8길 23,대구광역시 달서구 대곡동 1012 삼성래미안1차아파트,대구환경공단,053-605-8060,35.8076254028,128.5176855334,2019-06-27
"수성의료지구",도로면,대구광역시,연중무휴,00:00,00:00,Y,Y,DC차데모+AC3상+DC콤보,2,4,N,,대구광역시 수성구 노변동 544-1,대구환경공단,053-605-8060,35.8344962,128.6933426,2019-06-27
"차량등록사업소",지상주차장,대구광역시,연중무휴,00:00,00:00,N,Y,DC차데모+AC3상+DC콤보,0,1,N,대구광역시 수성구 동원로 84,대구광역시 수성구 만촌동 1429-9 대구차량등록사업소,대구환경공단,053-605-8060,35.8666424,128.6397299,2019-06-27
"대구은행(월배지점)",지상주차장,대구광역시,연중무휴,00:00,00:00,N,Y,DC차데모+AC3상+DC콤보,0,1,N,대구광역시 달서구 월배로 109,대구광역시 달서구 진천동 530-8,대구환경공단,053-605-8060,35.8147953,128.5262855,2019-06-27
"대구은행(3공단지점)",지상주차장,대구광역시,연중무휴,00:00,00:00,N,Y,DC차데모+AC3상+DC콤보,0,1,N,대구광역시 북구 노원동로 2,대구광역시 북구 노원동2가 133,대구환경공단,053-605-8060,35.8944006,128.5715352,2019-06-27
"대구은행(신암동지점)",지상주차장,대구광역시,연중무휴,00:00,00:00,N,Y,DC차데모+AC3상+DC콤보,0,1,N,대구광역시 동구 아양로 2,대구광역시 동구 신암동 164-1,대구환경공단,053-605-8060,35.8809854,128.6146284,2019-06-27
"안심1동",지상주차장,대구광역시,연중무휴,00:00,00:00,N,Y,DC차데모+AC3상+DC콤보,0,1,N,대구광역시 동구 율하동로 25길 5,대구광역시 동구 신기동 545-2 안심1동행정복지센터,대구환경공단,053-605-8060,35.8704291642,128.70162823,2019-06-27
"동천동 행정복지센터",지상주차장,대구광역시,연중무휴,00:00,00:00,N,Y,DC차데모+AC3상+DC콤보,0,1,N,대구광역시 북구 대천로 81,대구광역시 북구 동천동 930-2 동천동 주민센터,대구환경공단,053-605-8060,35.937318,128.5581853,2019-06-27
"유가면 행정복지센터",지상주차장,대구광역시,연중무휴,00:00,00:00,Y,Y,DC차데모+AC3상+DC콤보,3,2,N,대구광역시 달성군 유가면 테크노상업로 95,,대구환경공단,053-605-8060,35.6932476,128.4605953,2019-06-27
"옥포면사무소",지상주차장,대구광역시,연중무휴,00:00,00:00,N,Y,DC차데모+AC3상+DC콤보,0,1,N,대구광역시 달성군 옥포면 비슬로 2215,,대구환경공단,053-605-8060,35.7893104,128.4638592,2019-06-27
"지능형자동차부품진흥원",입구 우측,대구광역시,연중무휴,00:00,00:00,N,Y,DC차데모+AC3상+DC콤보,0,2,N,대구광역시 달성군 구지면 국가산단서로 201,대구광역시 달성군 구지면 창리 945,대구환경공단,053-605-8060,35.647085245,128.400600006,2019-06-27
"남산3동 행정복지센터",지상주차장,대구광역시,연중무휴,00:00,00:00,N,Y,DC차데모+AC3상+DC콤보,0,1,N,대구광역시 중구 남산로4길 70,대구광역시 중구 남산동 2208-15 남산3동주민센터,대구환경공단,053-605-8060,35.859901,128.585565,2019-06-27
"파계사 공영주차장",입구 좌측,대구광역시,연중무휴,00:00,00:00,Y,Y,DC차데모+AC3상+DC콤보,1,1,N,대구광역시 동구 파계로 686,대구광역시 동구 중대동 844-16,대구환경공단,053-605-8060,35.9909246,128.637144,2019-06-27
"동촌유원지 입구 주차장",입구 반대편 (주차장 남쪽),대구광역시,연중무휴,00:00,00:00,N,Y,DC차데모+AC3상+DC콤보,0,1,N,,대구광역시 동구 효목동 1025,대구환경공단,053-605-8060,35.8789996,128.6499472,2019-06-27
"지산근린공원 주차장",지하,대구광역시,연중무휴,08:00,23:00,N,Y,DC차데모+AC3상+DC콤보,0,1,Y,대구광역시 수성구 용학로 267,대구광역시 수성구 지산동 1274,대구환경공단,053-605-8060,35.8209345237,128.637614068,2019-06-27
"신매공영주차장",입구 우측,대구광역시,연중무휴,00:00,00:00,N,Y,DC차데모+AC3상+DC콤보,0,1,Y,,대구광역시 수성구 신매동 170-1,대구환경공단,053-605-8060,35.8365111,128.7126686,2019-06-27
"진천동 행정복지센터 앞 주차장",입구 우측,대구광역시,연중무휴,00:00,00:00,N,Y,DC차데모+AC3상+DC콤보,0,1,N,,대구광역시 달서구 진천동 626-31,대구환경공단,053-605-8060,35.8120266,128.5227495,2019-06-27
"대구체육관 주차장",입구 좌측,대구광역시,연중무휴,00:00,00:00,N,Y,DC차데모+AC3상+DC콤보,0,1,N,대구광역시 북구 대구체육관로 39,대구광역시 북구 산격동 1427-1 대구체육관,대구환경공단,053-605-8060,35.8937914,128.6034045,2019-06-27
"차량등록사업소 서부분소",입구 좌측,대구광역시,연중무휴,00:00,00:00,N,Y,DC차데모+AC3상+DC콤보,0,1,N,대구광역시 달서구 성서로 400,대구광역시 달서구 이곡동 1252-3 차량등록사업소서부민원분소,대구환경공단,053-605-8060,35.8532989,128.5078791,2019-06-27
"다사체육공원 주차장",입구 반대편 (주차장 서쪽),대구광역시,연중무휴,00:00,00:00,N,Y,DC차데모+AC3상+DC콤보,0,1,N,,대구광역시 달성군 다사읍 이천리 30-1,대구환경공단,053-605-8060,35.8902966,128.4777148,2019-06-27
